200 1.000000e-05 -2.490419e-06 9.373963e-09
200 5.000000e-05 -7.854696e-06 3.923700e-08
200 9.000000e-05 -9.877456e-06 9.525363e-08
200 1.300000e-04 -9.284616e-06 9.605433e-08
200 1.700000e-04 -6.927046e-06 1.600610e-07
200 2.100000e-04 -2.549941e-06 2.773678e-07
200 2.500000e-04 2.948698e-06 2.267700e-07
200 2.900000e-04 8.728804e-06 3.294561e-07
200 3.300000e-04 1.627056e-05 2.863097e-07
200 3.700000e-04 2.582099e-05 3.210707e-07
200 4.100000e-04 3.501126e-05 3.830548e-07
200 4.500000e-04 4.497744e-05 3.838685e-07
200 4.900000e-04 5.573706e-05 4.547583e-07
